TimeStamp,NYA_DCS_G6710A_Cylinder_13,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,942.61,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,945.17,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,944.19,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,942.23,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,941.04,109.4,1,0.0,100.0
2022-01-01 05:00:00+07:00,941.44,109.4,1,0.0,100.0
2022-01-01 06:00:00+07:00,941.15,109.4,1,0.0,100.0
2022-01-01 07:00:00+07:00,939.46,109.47,1,0.0,100.0
2022-01-01 08:00:00+07:00,941.29,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,943.95,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,946.25,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,949.25,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,950.57,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,953.67,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,954.15,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,952.99,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,952.45,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,948.11,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,944.74,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,944.31,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,945.48,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,946.49,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,947.83,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,948.69,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,944.99,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,944.31,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,944.2,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,942.9,111.96,1,0.0,100.0
2022-01-02 04:00:00+07:00,940.81,111.0,1,0.0,100.0
2022-01-02 05:00:00+07:00,940.29,110.04,1,0.0,100.0
2022-01-02 06:00:00+07:00,939.52,109.59,1,0.0,100.0
2022-01-02 07:00:00+07:00,938.07,109.55,1,0.0,100.0
2022-01-02 08:00:00+07:00,938.44,110.74,1,0.0,100.0
2022-01-02 14:00:00+07:00,945.56,125.17,1,0.0,100.0
2022-01-02 15:00:00+07:00,949.03,125.68,1,0.0,100.0
2022-01-02 16:00:00+07:00,945.05,117.99,1,0.0,100.0
2022-01-02 17:00:00+07:00,941.51,114.88,1,0.0,100.0
2022-01-02 18:00:00+07:00,939.48,112.67,1,0.0,100.0
2022-01-02 19:00:00+07:00,937.82,113.46,1,0.0,100.0
2022-01-02 20:00:00+07:00,937.33,113.07,1,0.0,100.0
2022-01-02 21:00:00+07:00,936.6,113.25,1,0.0,100.0
2022-01-02 22:00:00+07:00,935.51,113.12,1,0.0,100.0
2022-01-02 23:00:00+07:00,935.95,112.79,1,0.0,100.0
2022-01-03 00:00:00+07:00,935.58,112.41,1,0.0,100.0
2022-01-03 01:00:00+07:00,935.73,111.2,1,0.0,100.0
2022-01-03 02:00:00+07:00,934.06,109.99,1,0.0,100.0
