TimeStamp,NYA_DCS_G6710A_Cylinder_1,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,944.02,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,946.25,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,945.19,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,943.25,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,942.95,109.4,1,0.0,100.0
2022-01-01 05:00:00+07:00,941.82,109.4,1,0.0,100.0
2022-01-01 06:00:00+07:00,942.45,109.4,1,0.0,100.0
2022-01-01 07:00:00+07:00,940.38,109.47,1,0.0,100.0
2022-01-01 08:00:00+07:00,941.37,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,943.65,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,944.61,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,946.44,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,946.48,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,948.39,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,948.63,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,948.68,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,948.26,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,945.31,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,943.89,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,943.24,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,941.83,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,943.37,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,944.93,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,946.0,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,944.75,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,942.59,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,941.97,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,941.29,111.96,1,0.0,100.0
