TimeStamp,NYA_DCS_G6710A_Cylinder_15,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,954.95,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,956.78,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,954.32,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,952.8,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,951.88,109.4,1,0.0,100.0
2022-01-01 05:00:00+07:00,951.47,109.4,1,0.0,100.0
2022-01-01 06:00:00+07:00,951.93,109.4,1,0.0,100.0
2022-01-01 07:00:00+07:00,950.56,109.47,1,0.0,100.0
2022-01-01 08:00:00+07:00,950.33,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,952.31,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,955.03,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,957.09,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,957.18,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,957.96,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,958.12,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,958.05,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,958.26,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,957.15,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,956.97,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,955.68,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,954.85,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,955.51,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,956.4,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,956.06,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,953.29,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,952.05,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,953.07,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,952.97,111.96,1,0.0,100.0
2022-01-02 04:00:00+07:00,951.98,111.0,1,0.0,100.0
2022-01-02 05:00:00+07:00,952.7,110.04,1,0.0,100.0
2022-01-02 06:00:00+07:00,952.81,109.59,1,0.0,100.0
2022-01-02 07:00:00+07:00,951.37,109.55,1,0.0,100.0
2022-01-02 08:00:00+07:00,951.26,110.74,1,0.0,100.0
2022-01-02 14:00:00+07:00,962.32,125.17,1,0.0,100.0
2022-01-02 15:00:00+07:00,963.79,125.68,1,0.0,100.0
2022-01-02 16:00:00+07:00,959.55,117.99,1,0.0,100.0
2022-01-02 17:00:00+07:00,959.36,114.88,1,0.0,100.0
2022-01-02 18:00:00+07:00,957.66,112.67,1,0.0,100.0
2022-01-02 19:00:00+07:00,957.48,113.46,1,0.0,100.0
2022-01-02 20:00:00+07:00,955.26,113.07,1,0.0,100.0
2022-01-02 21:00:00+07:00,953.77,113.25,1,0.0,100.0
2022-01-02 22:00:00+07:00,953.22,113.12,1,0.0,100.0
2022-01-02 23:00:00+07:00,953.51,112.79,1,0.0,100.0
2022-01-03 00:00:00+07:00,954.11,112.41,1,0.0,100.0
2022-01-03 01:00:00+07:00,954.5,111.2,1,0.0,100.0
2022-01-03 02:00:00+07:00,953.01,109.99,1,0.0,100.0
2022-01-03 03:00:00+07:00,952.28,110.04,1,0.0,100.0
2022-01-03 04:00:00+07:00,952.44,109.97,1,0.0,100.0
