TimeStamp,NYA_DCS_G6710A_TotalKVAR,HEALTH
2022-01-05 19:00:00+07:00,30.5,100.0
2022-01-05 20:00:00+07:00,30.46,100.0
2022-01-05 21:00:00+07:00,34.41,100.0
2022-01-05 22:00:00+07:00,31.3,100.0
2022-01-05 23:00:00+07:00,29.23,100.0
2022-01-06 00:00:00+07:00,33.76,100.0
2022-01-06 01:00:00+07:00,32.85,100.0
2022-01-06 02:00:00+07:00,34.63,100.0
2022-01-06 03:00:00+07:00,33.79,100.0
2022-01-06 04:00:00+07:00,32.66,100.0
2022-01-06 05:00:00+07:00,31.34,100.0
2022-01-06 06:00:00+07:00,33.67,100.0
2022-01-06 07:00:00+07:00,28.55,100.0
2022-01-06 08:00:00+07:00,31.52,100.0
2022-01-06 09:00:00+07:00,33.09,100.0
2022-01-06 10:00:00+07:00,33.41,100.0
2022-01-06 11:00:00+07:00,32.81,100.0
2022-01-06 12:00:00+07:00,32.26,100.0
2022-01-06 13:00:00+07:00,34.62,100.0
2022-01-06 14:00:00+07:00,31.84,100.0
2022-01-06 15:00:00+07:00,34.22,100.0
2022-01-06 16:00:00+07:00,31.06,100.0
2022-01-06 17:00:00+07:00,31.3,100.0
2022-01-06 18:00:00+07:00,33.13,100.0
2022-01-06 19:00:00+07:00,35.02,100.0
2022-01-06 20:00:00+07:00,33.44,100.0
2022-01-06 21:00:00+07:00,32.78,100.0
2022-01-06 22:00:00+07:00,36.29,100.0
2022-01-06 23:00:00+07:00,34.91,100.0
2022-01-07 00:00:00+07:00,33.08,100.0
2022-01-07 01:00:00+07:00,31.33,100.0
2022-01-07 02:00:00+07:00,31.55,100.0
2022-01-07 03:00:00+07:00,35.64,100.0
2022-01-07 04:00:00+07:00,33.42,100.0
2022-01-07 05:00:00+07:00,30.41,100.0
2022-01-07 06:00:00+07:00,32.03,100.0
2022-01-07 07:00:00+07:00,32.95,100.0
2022-01-07 08:00:00+07:00,32.88,100.0
2022-01-07 09:00:00+07:00,28.71,100.0
2022-01-07 10:00:00+07:00,36.67,100.0
2022-01-07 11:00:00+07:00,33.81,100.0
2022-01-07 13:00:00+07:00,34.63,100.0
2022-01-07 14:00:00+07:00,33.25,100.0
2022-01-07 15:00:00+07:00,33.63,100.0
2022-01-07 16:00:00+07:00,31.92,100.0
2022-01-07 17:00:00+07:00,33.1,100.0
2022-01-07 18:00:00+07:00,31.93,100.0
2022-01-07 19:00:00+07:00,32.18,100.0
2022-01-07 20:00:00+07:00,32.53,100.0
2022-01-07 21:00:00+07:00,30.1,100.0
2022-01-07 22:00:00+07:00,32.91,100.0
2022-01-07 23:00:00+07:00,30.18,100.0
2022-01-08 00:00:00+07:00,29.85,100.0
2022-01-08 01:00:00+07:00,31.29,100.0
2022-01-08 02:00:00+07:00,32.28,100.0
2022-01-08 03:00:00+07:00,31.13,100.0
2022-01-08 04:00:00+07:00,33.33,100.0
2022-01-08 05:00:00+07:00,32.25,100.0
