TimeStamp,NYA_DCS_G6710A_Cylinder_7,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,826.47,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,832.15,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,828.96,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,826.23,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,823.49,109.4,1,0.06,99.25
2022-01-01 05:00:00+07:00,823.03,109.4,1,0.07,99.13
2022-01-01 06:00:00+07:00,822.38,109.4,1,0.08,99.0
2022-01-01 07:00:00+07:00,819.64,109.47,1,0.13,98.39
2022-01-01 08:00:00+07:00,828.0,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,829.54,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,833.32,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,837.69,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,837.25,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,840.04,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,840.9,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,837.75,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,837.72,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,829.37,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,822.61,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,820.47,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,825.13,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,828.98,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,832.79,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,832.42,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,828.86,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,829.9,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,827.99,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,820.5,111.96,1,0.0,100.0
2022-01-02 04:00:00+07:00,818.13,111.0,1,0.09,98.88
2022-01-02 05:00:00+07:00,818.46,110.04,1,0.13,98.39
2022-01-02 06:00:00+07:00,820.81,109.59,1,0.1,98.76
2022-01-02 07:00:00+07:00,822.5,109.55,1,0.07,99.13
2022-01-02 08:00:00+07:00,821.81,110.74,1,0.03,99.63
2022-01-02 14:00:00+07:00,841.77,125.17,1,0.0,100.0
2022-01-02 15:00:00+07:00,847.05,125.68,1,0.0,100.0
2022-01-02 16:00:00+07:00,835.09,117.99,1,0.0,100.0
2022-01-02 17:00:00+07:00,829.17,114.88,1,0.0,100.0
2022-01-02 18:00:00+07:00,824.75,112.67,1,0.0,100.0
2022-01-02 19:00:00+07:00,824.72,113.46,1,0.0,100.0
2022-01-02 20:00:00+07:00,823.18,113.07,1,0.0,100.0
