TimeStamp,NYA_DCS_G6710A_Rear_Bear_Temp,HEALTH
2022-01-05 19:00:00+07:00,88.89,100.0
2022-01-05 20:00:00+07:00,89.6,100.0
2022-01-05 21:00:00+07:00,89.6,100.0
2022-01-05 22:00:00+07:00,89.72,100.0
2022-01-05 23:00:00+07:00,87.8,100.0
2022-01-06 00:00:00+07:00,86.56,100.0
2022-01-06 01:00:00+07:00,86.0,100.0
2022-01-06 02:00:00+07:00,86.0,100.0
2022-01-06 03:00:00+07:00,87.34,100.0
2022-01-06 04:00:00+07:00,89.01,100.0
2022-01-06 05:00:00+07:00,89.25,100.0
2022-01-06 06:00:00+07:00,89.09,100.0
2022-01-06 07:00:00+07:00,89.95,100.0
2022-01-06 08:00:00+07:00,91.4,100.0
2022-01-06 09:00:00+07:00,91.24,100.0
2022-01-06 10:00:00+07:00,90.47,100.0
2022-01-06 11:00:00+07:00,88.17,100.0
2022-01-06 12:00:00+07:00,86.0,100.0
2022-01-06 13:00:00+07:00,86.0,100.0
2022-01-06 14:00:00+07:00,86.0,100.0
2022-01-06 15:00:00+07:00,85.92,100.0
2022-01-06 16:00:00+07:00,91.72,100.0
2022-01-06 17:00:00+07:00,93.2,100.0
2022-01-06 18:00:00+07:00,93.2,100.0
2022-01-06 19:00:00+07:00,93.2,100.0
2022-01-06 20:00:00+07:00,93.2,100.0
2022-01-06 21:00:00+07:00,93.2,100.0
2022-01-06 22:00:00+07:00,93.2,100.0
2022-01-06 23:00:00+07:00,93.2,100.0
2022-01-07 00:00:00+07:00,93.2,100.0
2022-01-07 01:00:00+07:00,93.2,100.0
2022-01-07 02:00:00+07:00,93.2,100.0
2022-01-07 03:00:00+07:00,93.2,100.0
2022-01-07 04:00:00+07:00,93.2,100.0
2022-01-07 05:00:00+07:00,93.2,100.0
2022-01-07 06:00:00+07:00,93.2,100.0
2022-01-07 07:00:00+07:00,93.2,100.0
2022-01-07 08:00:00+07:00,95.0,100.0
2022-01-07 09:00:00+07:00,95.0,100.0
2022-01-07 10:00:00+07:00,95.0,100.0
2022-01-07 11:00:00+07:00,96.69,100.0
2022-01-07 13:00:00+07:00,96.8,100.0
2022-01-07 14:00:00+07:00,96.8,100.0
2022-01-07 15:00:00+07:00,96.8,100.0
2022-01-07 16:00:00+07:00,98.0,100.0
2022-01-07 17:00:00+07:00,96.8,100.0
2022-01-07 18:00:00+07:00,95.36,100.0
2022-01-07 19:00:00+07:00,95.0,100.0
2022-01-07 20:00:00+07:00,95.0,100.0
2022-01-07 21:00:00+07:00,94.37,100.0
2022-01-07 22:00:00+07:00,94.14,100.0
2022-01-07 23:00:00+07:00,94.88,100.0
2022-01-08 00:00:00+07:00,94.29,100.0
2022-01-08 01:00:00+07:00,93.29,100.0
2022-01-08 02:00:00+07:00,93.2,100.0
2022-01-08 03:00:00+07:00,93.2,100.0
2022-01-08 04:00:00+07:00,93.2,100.0
2022-01-08 05:00:00+07:00,93.2,100.0
2022-01-08 06:00:00+07:00,93.2,100.0
2022-01-08 07:00:00+07:00,93.2,100.0
2022-01-08 08:00:00+07:00,93.02,100.0
2022-01-08 09:00:00+07:00,91.47,100.0
2022-01-08 10:00:00+07:00,90.7,100.0
2022-01-08 11:00:00+07:00,90.38,100.0
2022-01-08 12:00:00+07:00,90.94,100.0
2022-01-08 13:00:00+07:00,90.8,100.0
2022-01-08 14:00:00+07:00,91.92,100.0
2022-01-08 16:00:00+07:00,93.76,100.0
2022-01-08 17:00:00+07:00,92.14,100.0
2022-01-08 18:00:00+07:00,90.99,100.0
2022-01-08 19:00:00+07:00,89.63,100.0
2022-01-08 20:00:00+07:00,89.59,100.0
2022-01-08 21:00:00+07:00,89.06,100.0
2022-01-08 22:00:00+07:00,88.3,100.0
2022-01-08 23:00:00+07:00,87.8,100.0
2022-01-09 00:00:00+07:00,87.8,100.0
2022-01-09 01:00:00+07:00,87.8,100.0
2022-01-09 02:00:00+07:00,86.94,100.0
2022-01-09 03:00:00+07:00,86.04,100.0
2022-01-09 04:00:00+07:00,86.0,100.0
2022-01-09 05:00:00+07:00,86.08,100.0
2022-01-09 06:00:00+07:00,87.18,100.0
2022-01-09 07:00:00+07:00,87.76,100.0
2022-01-09 08:00:00+07:00,87.78,100.0
2022-01-09 09:00:00+07:00,87.85,100.0
