TimeStamp,NYA_DCS_G6710A_Cylinder_10,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,792.76,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,794.67,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,789.5,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,785.37,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,788.23,109.4,1,0.0,100.0
2022-01-01 05:00:00+07:00,790.67,109.4,1,0.0,100.0
2022-01-01 06:00:00+07:00,788.43,109.4,1,0.0,100.0
2022-01-01 07:00:00+07:00,784.17,109.47,1,0.0,100.0
2022-01-01 08:00:00+07:00,790.37,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,795.25,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,799.79,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,802.78,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,801.01,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,805.83,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,805.89,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,801.81,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,802.96,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,796.93,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,794.34,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,794.23,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,797.67,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,800.14,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,801.17,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,801.21,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,795.24,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,792.91,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,791.39,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,787.19,111.96,1,0.0,100.0
2022-01-02 04:00:00+07:00,783.6,111.0,1,0.0,100.0
2022-01-02 05:00:00+07:00,787.85,110.04,1,0.0,100.0
2022-01-02 06:00:00+07:00,784.53,109.59,1,0.0,100.0
2022-01-02 07:00:00+07:00,785.59,109.55,1,0.0,100.0
2022-01-02 08:00:00+07:00,785.65,110.74,1,0.0,100.0
2022-01-02 14:00:00+07:00,820.25,125.17,1,0.0,100.0
2022-01-02 15:00:00+07:00,814.28,125.68,1,0.0,100.0
2022-01-02 16:00:00+07:00,803.69,117.99,1,0.0,100.0
2022-01-02 17:00:00+07:00,796.0,114.88,1,0.0,100.0
2022-01-02 18:00:00+07:00,791.4,112.67,1,0.0,100.0
2022-01-02 19:00:00+07:00,796.06,113.46,1,0.0,100.0
2022-01-02 20:00:00+07:00,790.98,113.07,1,0.0,100.0
2022-01-02 21:00:00+07:00,791.47,113.25,1,0.0,100.0
2022-01-02 22:00:00+07:00,790.89,113.12,1,0.0,100.0
2022-01-02 23:00:00+07:00,787.79,112.79,1,0.0,100.0
2022-01-03 00:00:00+07:00,790.68,112.41,1,0.0,100.0
2022-01-03 01:00:00+07:00,788.14,111.2,1,0.0,100.0
2022-01-03 02:00:00+07:00,785.11,109.99,1,0.0,100.0
2022-01-03 03:00:00+07:00,785.18,110.04,1,0.0,100.0
2022-01-03 04:00:00+07:00,784.22,109.97,1,0.0,100.0
2022-01-03 05:00:00+07:00,785.15,109.69,1,0.0,100.0
2022-01-03 06:00:00+07:00,786.73,110.72,1,0.0,100.0
