TimeStamp,NYA_DCS_G6710A_Cylinder_6,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,865.62,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,867.87,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,866.75,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,864.87,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,863.34,109.4,1,0.0,100.0
2022-01-01 05:00:00+07:00,861.57,109.4,1,0.0,100.0
2022-01-01 06:00:00+07:00,862.6,109.4,1,0.0,100.0
2022-01-01 07:00:00+07:00,860.65,109.47,1,0.0,100.0
2022-01-01 08:00:00+07:00,864.07,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,866.72,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,866.52,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,868.93,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,872.33,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,874.1,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,874.73,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,873.37,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,874.15,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,872.34,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,869.91,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,870.03,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,871.12,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,870.62,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,872.92,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,872.55,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,870.94,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,870.26,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,870.41,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,867.44,111.96,1,0.0,100.0
2022-01-02 04:00:00+07:00,864.66,111.0,1,0.0,100.0
2022-01-02 05:00:00+07:00,863.35,110.04,1,0.0,100.0
2022-01-02 06:00:00+07:00,863.39,109.59,1,0.0,100.0
2022-01-02 07:00:00+07:00,861.26,109.55,1,0.0,100.0
2022-01-02 08:00:00+07:00,863.03,110.74,1,0.0,100.0
2022-01-02 14:00:00+07:00,879.86,125.17,1,0.0,100.0
2022-01-02 15:00:00+07:00,881.77,125.68,1,0.0,100.0
2022-01-02 16:00:00+07:00,880.87,117.99,1,0.0,100.0
2022-01-02 17:00:00+07:00,876.83,114.88,1,0.0,100.0
