TimeStamp,AVG_ALL_CYLINDER,HEALTH
2022-01-05 19:00:00+07:00,892.54,100.0
2022-01-05 20:00:00+07:00,891.74,100.0
2022-01-05 21:00:00+07:00,893.35,100.0
2022-01-05 22:00:00+07:00,891.14,100.0
2022-01-05 23:00:00+07:00,887.6,100.0
2022-01-06 00:00:00+07:00,885.8,100.0
2022-01-06 01:00:00+07:00,886.77,100.0
2022-01-06 02:00:00+07:00,886.25,100.0
2022-01-06 03:00:00+07:00,889.67,100.0
2022-01-06 04:00:00+07:00,890.37,100.0
2022-01-06 05:00:00+07:00,890.72,100.0
2022-01-06 06:00:00+07:00,890.74,100.0
2022-01-06 07:00:00+07:00,892.05,100.0
2022-01-06 08:00:00+07:00,895.29,100.0
2022-01-06 09:00:00+07:00,893.51,100.0
2022-01-06 10:00:00+07:00,893.09,100.0
2022-01-06 11:00:00+07:00,887.32,100.0
2022-01-06 12:00:00+07:00,885.63,100.0
2022-01-06 13:00:00+07:00,886.81,100.0
2022-01-06 14:00:00+07:00,885.85,100.0
2022-01-06 15:00:00+07:00,889.25,100.0
2022-01-06 16:00:00+07:00,897.91,100.0
2022-01-06 17:00:00+07:00,898.97,100.0
2022-01-06 18:00:00+07:00,898.66,100.0
2022-01-06 19:00:00+07:00,898.64,100.0
2022-01-06 20:00:00+07:00,898.29,100.0
2022-01-06 21:00:00+07:00,897.21,100.0
2022-01-06 22:00:00+07:00,897.65,100.0
2022-01-06 23:00:00+07:00,898.59,100.0
2022-01-07 00:00:00+07:00,897.75,100.0
2022-01-07 01:00:00+07:00,897.51,100.0
2022-01-07 02:00:00+07:00,897.71,100.0
2022-01-07 03:00:00+07:00,898.22,100.0
2022-01-07 04:00:00+07:00,898.27,100.0
2022-01-07 05:00:00+07:00,897.94,100.0
2022-01-07 06:00:00+07:00,898.96,100.0
2022-01-07 07:00:00+07:00,899.31,100.0
2022-01-07 08:00:00+07:00,900.47,100.0
2022-01-07 09:00:00+07:00,900.81,100.0
2022-01-07 10:00:00+07:00,902.3,100.0
2022-01-07 11:00:00+07:00,904.01,100.0
2022-01-07 13:00:00+07:00,904.08,100.0
2022-01-07 14:00:00+07:00,903.85,100.0
2022-01-07 15:00:00+07:00,904.92,100.0
2022-01-07 16:00:00+07:00,905.0,100.0
2022-01-07 17:00:00+07:00,903.82,100.0
2022-01-07 18:00:00+07:00,901.27,100.0
2022-01-07 19:00:00+07:00,901.94,100.0
2022-01-07 20:00:00+07:00,900.93,100.0
2022-01-07 21:00:00+07:00,899.98,100.0
2022-01-07 22:00:00+07:00,900.9,100.0
2022-01-07 23:00:00+07:00,901.04,100.0
2022-01-08 00:00:00+07:00,900.76,100.0
2022-01-08 01:00:00+07:00,899.88,100.0
2022-01-08 02:00:00+07:00,899.48,100.0
2022-01-08 03:00:00+07:00,900.22,100.0
2022-01-08 04:00:00+07:00,900.21,100.0
2022-01-08 05:00:00+07:00,899.38,100.0
2022-01-08 06:00:00+07:00,898.74,100.0
2022-01-08 07:00:00+07:00,900.73,100.0
2022-01-08 08:00:00+07:00,894.64,100.0
2022-01-08 09:00:00+07:00,898.32,100.0
2022-01-08 10:00:00+07:00,896.79,100.0
2022-01-08 11:00:00+07:00,897.79,100.0
2022-01-08 12:00:00+07:00,897.97,100.0
2022-01-08 13:00:00+07:00,897.83,100.0
2022-01-08 14:00:00+07:00,883.13,100.0
2022-01-08 16:00:00+07:00,900.74,100.0
2022-01-08 17:00:00+07:00,898.91,100.0
2022-01-08 18:00:00+07:00,897.45,100.0
2022-01-08 19:00:00+07:00,896.5,100.0
2022-01-08 20:00:00+07:00,897.3,100.0
2022-01-08 21:00:00+07:00,896.0,100.0
2022-01-08 22:00:00+07:00,895.15,100.0
2022-01-08 23:00:00+07:00,894.23,100.0
2022-01-09 00:00:00+07:00,895.44,100.0
2022-01-09 01:00:00+07:00,894.7,100.0
2022-01-09 02:00:00+07:00,892.72,100.0
2022-01-09 03:00:00+07:00,893.34,100.0
2022-01-09 04:00:00+07:00,893.51,100.0
2022-01-09 05:00:00+07:00,894.85,100.0
2022-01-09 06:00:00+07:00,895.05,100.0
2022-01-09 07:00:00+07:00,895.68,100.0
2022-01-09 08:00:00+07:00,896.02,100.0
