TimeStamp,NYA_DCS_G6710A_CoolantTemp_RB,NYA_DCS_G6710A_OilTemp,CLUSTER,OVER_BY,HEALTH
2022-01-04 22:00:00+07:00,182.17,182.38,1,0.0,100.0
2022-01-04 23:00:00+07:00,182.98,183.12,1,0.0,100.0
2022-01-05 00:00:00+07:00,183.94,184.12,1,0.0,100.0
2022-01-05 01:00:00+07:00,184.1,184.18,1,0.0,100.0
2022-01-05 02:00:00+07:00,183.48,184.0,1,0.0,100.0
2022-01-05 03:00:00+07:00,180.8,181.74,1,0.0,100.0
2022-01-05 04:00:00+07:00,178.32,179.2,1,0.0,100.0
2022-01-05 05:00:00+07:00,179.0,178.78,1,0.0,100.0
2022-01-05 06:00:00+07:00,177.81,178.99,1,0.0,100.0
2022-01-05 07:00:00+07:00,178.9,179.46,1,0.0,100.0
2022-01-05 08:00:00+07:00,179.18,179.73,1,0.0,100.0
2022-01-05 09:00:00+07:00,179.6,180.39,1,0.0,100.0
2022-01-05 10:00:00+07:00,180.01,180.51,1,0.0,100.0
2022-01-05 11:00:00+07:00,178.41,178.63,1,0.0,100.0
2022-01-05 12:00:00+07:00,178.54,179.17,1,0.0,100.0
2022-01-05 13:00:00+07:00,180.01,180.8,1,0.0,100.0
2022-01-05 14:00:00+07:00,180.14,180.76,1,0.0,100.0
2022-01-05 15:00:00+07:00,179.15,181.0,1,0.0,100.0
2022-01-05 16:00:00+07:00,180.8,181.56,1,0.0,100.0
2022-01-05 17:00:00+07:00,179.4,180.05,1,0.0,100.0
2022-01-05 18:00:00+07:00,181.27,181.62,1,0.0,100.0
2022-01-05 19:00:00+07:00,182.89,182.82,1,0.0,100.0
2022-01-05 20:00:00+07:00,181.81,182.19,1,0.0,100.0
2022-01-05 21:00:00+07:00,183.2,183.22,1,0.0,100.0
2022-01-05 22:00:00+07:00,181.58,182.06,1,0.0,100.0
2022-01-05 23:00:00+07:00,178.48,179.63,1,0.0,100.0
2022-01-06 00:00:00+07:00,177.84,179.09,1,0.0,100.0
2022-01-06 01:00:00+07:00,177.92,179.32,1,0.0,100.0
2022-01-06 02:00:00+07:00,179.1,179.79,1,0.0,100.0
2022-01-06 03:00:00+07:00,181.29,181.56,1,0.0,100.0
2022-01-06 04:00:00+07:00,180.7,181.82,1,0.0,100.0
