TimeStamp,NYA_DCS_G6710A_Cylinder_14,NYA_DCS_G6710A_Intake_Manifold,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,818.0,113.65,1,0.0,100.0
2022-01-01 01:00:00+07:00,824.65,116.51,1,0.0,100.0
2022-01-01 02:00:00+07:00,821.45,113.62,1,0.0,100.0
2022-01-01 03:00:00+07:00,808.67,109.73,1,0.0,100.0
2022-01-01 04:00:00+07:00,808.04,109.4,1,0.0,100.0
2022-01-01 05:00:00+07:00,812.59,109.4,1,0.0,100.0
2022-01-01 06:00:00+07:00,810.96,109.4,1,0.0,100.0
2022-01-01 07:00:00+07:00,805.93,109.47,1,0.0,100.0
2022-01-01 08:00:00+07:00,815.67,112.69,1,0.0,100.0
2022-01-01 09:00:00+07:00,822.31,116.26,1,0.0,100.0
2022-01-01 10:00:00+07:00,828.4,119.49,1,0.0,100.0
2022-01-01 11:00:00+07:00,833.67,121.61,1,0.0,100.0
2022-01-01 12:00:00+07:00,835.06,122.31,1,0.0,100.0
2022-01-01 13:00:00+07:00,837.63,122.73,1,0.0,100.0
2022-01-01 14:00:00+07:00,837.57,123.43,1,0.0,100.0
2022-01-01 15:00:00+07:00,834.73,119.61,1,0.0,100.0
2022-01-01 16:00:00+07:00,833.52,121.07,1,0.0,100.0
2022-01-01 17:00:00+07:00,828.85,117.38,1,0.0,100.0
2022-01-01 18:00:00+07:00,822.4,114.22,1,0.0,100.0
2022-01-01 19:00:00+07:00,823.3,114.57,1,0.0,100.0
2022-01-01 20:00:00+07:00,825.39,116.29,1,0.0,100.0
2022-01-01 21:00:00+07:00,828.67,118.29,1,0.0,100.0
2022-01-01 22:00:00+07:00,830.32,119.2,1,0.0,100.0
2022-01-01 23:00:00+07:00,829.71,119.55,1,0.0,100.0
2022-01-02 00:00:00+07:00,823.12,115.34,1,0.0,100.0
2022-01-02 01:00:00+07:00,823.83,115.21,1,0.0,100.0
2022-01-02 02:00:00+07:00,823.98,115.55,1,0.0,100.0
2022-01-02 03:00:00+07:00,818.9,111.96,1,0.0,100.0
2022-01-02 04:00:00+07:00,814.6,111.0,1,0.0,100.0
2022-01-02 05:00:00+07:00,812.38,110.04,1,0.0,100.0
2022-01-02 06:00:00+07:00,811.72,109.59,1,0.0,100.0
2022-01-02 07:00:00+07:00,808.83,109.55,1,0.0,100.0
2022-01-02 08:00:00+07:00,808.64,110.74,1,0.0,100.0
2022-01-02 14:00:00+07:00,836.63,125.17,1,0.0,100.0
2022-01-02 15:00:00+07:00,841.58,125.68,1,0.0,100.0
2022-01-02 16:00:00+07:00,834.1,117.99,1,0.0,100.0
2022-01-02 17:00:00+07:00,827.73,114.88,1,0.0,100.0
2022-01-02 18:00:00+07:00,823.26,112.67,1,0.0,100.0
2022-01-02 19:00:00+07:00,821.94,113.46,1,0.0,100.0
2022-01-02 20:00:00+07:00,818.36,113.07,1,0.0,100.0
2022-01-02 21:00:00+07:00,817.44,113.25,1,0.0,100.0
2022-01-02 22:00:00+07:00,819.07,113.12,1,0.0,100.0
2022-01-02 23:00:00+07:00,818.82,112.79,1,0.0,100.0
2022-01-03 00:00:00+07:00,819.12,112.41,1,0.0,100.0
2022-01-03 01:00:00+07:00,818.56,111.2,1,0.0,100.0
2022-01-03 02:00:00+07:00,816.0,109.99,1,0.0,100.0
2022-01-03 03:00:00+07:00,816.68,110.04,1,0.0,100.0
2022-01-03 04:00:00+07:00,817.48,109.97,1,0.0,100.0
2022-01-03 05:00:00+07:00,816.16,109.69,1,0.0,100.0
2022-01-03 06:00:00+07:00,817.18,110.72,1,0.0,100.0
2022-01-03 07:00:00+07:00,814.74,110.43,1,0.0,100.0
2022-01-03 08:00:00+07:00,816.1,111.2,1,0.0,100.0
2022-01-03 09:00:00+07:00,821.2,111.56,1,0.0,100.0
2022-01-03 10:00:00+07:00,824.4,114.27,1,0.0,100.0
2022-01-03 11:00:00+07:00,829.36,117.04,1,0.0,100.0
2022-01-03 12:00:00+07:00,837.54,123.8,1,0.0,100.0
2022-01-03 13:00:00+07:00,834.05,120.65,1,0.0,100.0
2022-01-03 14:00:00+07:00,843.14,125.75,1,0.0,100.0
2022-01-03 15:00:00+07:00,850.19,129.06,1,0.0,100.0
2022-01-03 16:00:00+07:00,847.82,128.81,1,0.0,100.0
2022-01-03 17:00:00+07:00,847.98,128.18,1,0.0,100.0
2022-01-03 18:00:00+07:00,844.83,125.7,1,0.0,100.0
2022-01-03 19:00:00+07:00,844.41,125.6,1,0.0,100.0
