TimeStamp,NYA_DCS_G6710A_Intake_Manifold,NYA_DCS_G6710A_CoolantTemp_RB,CLUSTER,OVER_BY,HEALTH
2022-01-01 00:00:00+07:00,113.65,178.08,1,0,100.0
2022-01-01 01:00:00+07:00,116.51,179.99,1,0,100.0
2022-01-01 02:00:00+07:00,113.62,178.19,1,0,100.0
2022-01-01 03:00:00+07:00,109.73,176.0,1,0,100.0
2022-01-01 04:00:00+07:00,109.4,176.0,1,0,100.0
2022-01-01 05:00:00+07:00,109.4,176.0,1,0,100.0
2022-01-01 06:00:00+07:00,109.4,176.0,1,0,100.0
2022-01-01 07:00:00+07:00,109.47,176.05,1,0,100.0
2022-01-01 08:00:00+07:00,112.69,177.99,1,0,100.0
2022-01-01 09:00:00+07:00,116.26,180.04,1,0,100.0
2022-01-01 10:00:00+07:00,119.49,181.81,1,0,100.0
2022-01-01 11:00:00+07:00,121.61,182.92,1,0,100.0
2022-01-01 12:00:00+07:00,122.31,183.1,1,0,100.0
2022-01-01 13:00:00+07:00,122.73,183.57,1,0,100.0
2022-01-01 14:00:00+07:00,123.43,184.32,1,0,100.0
2022-01-01 15:00:00+07:00,119.61,181.66,1,0,100.0
2022-01-01 16:00:00+07:00,121.07,182.58,1,0,100.0
2022-01-01 17:00:00+07:00,117.38,179.54,1,0,100.0
2022-01-01 18:00:00+07:00,114.22,177.76,1,0,100.0
2022-01-01 19:00:00+07:00,114.57,178.07,1,0,100.0
2022-01-01 20:00:00+07:00,116.29,179.98,1,0,100.0
2022-01-01 21:00:00+07:00,118.29,181.51,1,0,100.0
2022-01-01 22:00:00+07:00,119.2,181.98,1,0,100.0
2022-01-01 23:00:00+07:00,119.55,181.75,1,0,100.0
2022-01-02 00:00:00+07:00,115.34,178.19,1,0,100.0
2022-01-02 01:00:00+07:00,115.21,178.56,1,0,100.0
2022-01-02 02:00:00+07:00,115.55,178.89,1,0,100.0
2022-01-02 03:00:00+07:00,111.96,176.09,1,0,100.0
2022-01-02 04:00:00+07:00,111.0,176.0,1,0,100.0
2022-01-02 05:00:00+07:00,110.04,176.0,1,0,100.0
2022-01-02 06:00:00+07:00,109.59,176.0,1,0,100.0
2022-01-02 07:00:00+07:00,109.55,176.0,1,0,100.0
2022-01-02 08:00:00+07:00,110.74,176.59,1,0,100.0
2022-01-02 14:00:00+07:00,125.17,184.3,1,0,100.0
2022-01-02 15:00:00+07:00,125.68,185.2,1,0,100.0
2022-01-02 16:00:00+07:00,117.99,179.54,1,0,100.0
2022-01-02 17:00:00+07:00,114.88,177.55,1,0,100.0
2022-01-02 18:00:00+07:00,112.67,176.39,1,0,100.0
2022-01-02 19:00:00+07:00,113.46,177.55,1,0,100.0
2022-01-02 20:00:00+07:00,113.07,177.6,1,0,100.0
2022-01-02 21:00:00+07:00,113.25,177.8,1,0,100.0
2022-01-02 22:00:00+07:00,113.12,177.8,1,0,100.0
2022-01-02 23:00:00+07:00,112.79,176.97,1,0,100.0
2022-01-03 00:00:00+07:00,112.41,177.31,1,0,100.0
2022-01-03 01:00:00+07:00,111.2,176.0,1,0,100.0
2022-01-03 02:00:00+07:00,109.99,176.0,1,0,100.0
2022-01-03 03:00:00+07:00,110.04,176.0,1,0,100.0
2022-01-03 04:00:00+07:00,109.97,176.0,1,0,100.0
2022-01-03 05:00:00+07:00,109.69,176.0,1,0,100.0
2022-01-03 06:00:00+07:00,110.72,176.04,1,0,100.0
2022-01-03 07:00:00+07:00,110.43,176.0,1,0,100.0
2022-01-03 08:00:00+07:00,111.2,177.17,1,0,100.0
2022-01-03 09:00:00+07:00,111.56,177.8,1,0,100.0
2022-01-03 10:00:00+07:00,114.27,178.49,1,0,100.0
2022-01-03 11:00:00+07:00,117.04,179.93,1,0,100.0
2022-01-03 12:00:00+07:00,123.8,183.98,1,0,100.0
2022-01-03 13:00:00+07:00,120.65,181.58,1,0,100.0
2022-01-03 14:00:00+07:00,125.75,184.8,1,0,100.0
2022-01-03 15:00:00+07:00,129.06,186.8,1,0,100.0
2022-01-03 16:00:00+07:00,128.81,186.54,1,0,100.0
2022-01-03 17:00:00+07:00,128.18,185.75,1,0,100.0
2022-01-03 18:00:00+07:00,125.7,184.29,1,0,100.0
2022-01-03 19:00:00+07:00,125.6,183.27,1,0,100.0
2022-01-03 20:00:00+07:00,125.6,184.47,1,0,100.0
2022-01-03 21:00:00+07:00,125.6,183.45,1,0,100.0
2022-01-03 22:00:00+07:00,125.34,183.23,1,0,100.0
2022-01-03 23:00:00+07:00,124.71,183.2,1,0,100.0
2022-01-04 00:00:00+07:00,123.89,183.2,1,0,100.0
2022-01-04 01:00:00+07:00,123.8,183.2,1,0,100.0
2022-01-04 02:00:00+07:00,124.45,183.2,1,0,100.0
2022-01-04 03:00:00+07:00,123.69,183.2,1,0,100.0
2022-01-04 04:00:00+07:00,124.68,183.2,1,0,100.0
2022-01-04 05:00:00+07:00,124.69,183.2,1,0,100.0
2022-01-04 06:00:00+07:00,123.49,182.92,1,0,100.0
2022-01-04 07:00:00+07:00,123.49,183.08,1,0,100.0
2022-01-04 08:00:00+07:00,124.15,183.41,1,0,100.0
2022-01-04 09:00:00+07:00,122.21,181.55,1,0,100.0
2022-01-04 10:00:00+07:00,109.78,175.96,1,0,100.0
2022-01-04 11:00:00+07:00,113.74,178.19,1,0,100.0
2022-01-04 12:00:00+07:00,112.11,176.92,1,0,100.0
2022-01-04 13:00:00+07:00,111.64,177.29,1,0,100.0
2022-01-04 14:00:00+07:00,114.37,178.9,1,0,100.0
2022-01-04 15:00:00+07:00,111.2,176.08,1,0,100.0
2022-01-04 16:00:00+07:00,111.73,177.73,1,0,100.0
2022-01-04 17:00:00+07:00,113.29,177.8,1,0,100.0
2022-01-04 18:00:00+07:00,115.12,179.39,1,0,100.0
2022-01-04 19:00:00+07:00,113.7,177.9,1,0,100.0
2022-01-04 20:00:00+07:00,113.81,178.01,1,0,100.0
2022-01-04 21:00:00+07:00,114.99,178.6,1,0,100.0
2022-01-04 22:00:00+07:00,119.26,182.17,1,0,100.0
2022-01-04 23:00:00+07:00,121.09,182.98,1,0,100.0
2022-01-05 00:00:00+07:00,123.3,183.94,1,0,100.0
