TimeStamp,NYA_DCS_G6710A_OilPressure,HEALTH
2022-01-05 19:00:00+07:00,60.92,100.0
2022-01-05 20:00:00+07:00,60.97,100.0
2022-01-05 21:00:00+07:00,60.88,100.0
2022-01-05 22:00:00+07:00,61.03,100.0
2022-01-05 23:00:00+07:00,61.5,100.0
2022-01-06 00:00:00+07:00,61.55,100.0
2022-01-06 01:00:00+07:00,61.5,100.0
2022-01-06 02:00:00+07:00,61.49,100.0
2022-01-06 03:00:00+07:00,61.06,100.0
2022-01-06 04:00:00+07:00,61.05,100.0
2022-01-06 05:00:00+07:00,61.02,100.0
2022-01-06 06:00:00+07:00,60.98,100.0
2022-01-06 07:00:00+07:00,60.87,100.0
2022-01-06 08:00:00+07:00,60.62,100.0
2022-01-06 09:00:00+07:00,60.82,100.0
2022-01-06 10:00:00+07:00,60.92,100.0
2022-01-06 11:00:00+07:00,61.53,100.0
2022-01-06 12:00:00+07:00,61.61,100.0
2022-01-06 13:00:00+07:00,61.52,100.0
2022-01-06 14:00:00+07:00,61.65,100.0
2022-01-06 15:00:00+07:00,61.23,100.0
2022-01-06 16:00:00+07:00,60.31,100.0
2022-01-06 17:00:00+07:00,60.34,100.0
2022-01-06 18:00:00+07:00,60.34,100.0
2022-01-06 19:00:00+07:00,60.36,100.0
2022-01-06 20:00:00+07:00,60.34,100.0
2022-01-06 21:00:00+07:00,60.37,100.0
2022-01-06 22:00:00+07:00,60.51,100.0
2022-01-06 23:00:00+07:00,60.39,100.0
2022-01-07 00:00:00+07:00,60.35,100.0
2022-01-07 01:00:00+07:00,60.36,100.0
2022-01-07 02:00:00+07:00,60.34,100.0
2022-01-07 03:00:00+07:00,60.34,100.0
2022-01-07 04:00:00+07:00,60.34,100.0
2022-01-07 05:00:00+07:00,60.34,100.0
2022-01-07 06:00:00+07:00,60.34,100.0
2022-01-07 07:00:00+07:00,60.34,100.0
2022-01-07 08:00:00+07:00,60.28,100.0
2022-01-07 09:00:00+07:00,60.15,100.0
2022-01-07 10:00:00+07:00,60.18,100.0
2022-01-07 11:00:00+07:00,60.09,100.0
2022-01-07 13:00:00+07:00,60.02,100.0
2022-01-07 14:00:00+07:00,60.06,100.0
2022-01-07 15:00:00+07:00,60.16,100.0
2022-01-07 16:00:00+07:00,60.13,100.0
2022-01-07 17:00:00+07:00,60.26,100.0
2022-01-07 18:00:00+07:00,60.34,100.0
2022-01-07 19:00:00+07:00,60.34,100.0
2022-01-07 20:00:00+07:00,60.42,100.0
2022-01-07 21:00:00+07:00,60.52,100.0
2022-01-07 22:00:00+07:00,60.39,100.0
2022-01-07 23:00:00+07:00,60.34,100.0
2022-01-08 00:00:00+07:00,60.35,100.0
2022-01-08 01:00:00+07:00,60.36,100.0
2022-01-08 02:00:00+07:00,60.4,100.0
2022-01-08 03:00:00+07:00,60.43,100.0
2022-01-08 04:00:00+07:00,60.36,100.0
2022-01-08 05:00:00+07:00,60.34,100.0
2022-01-08 06:00:00+07:00,60.58,100.0
2022-01-08 07:00:00+07:00,60.63,100.0
2022-01-08 08:00:00+07:00,60.78,100.0
2022-01-08 09:00:00+07:00,60.79,100.0
2022-01-08 10:00:00+07:00,60.91,100.0
2022-01-08 11:00:00+07:00,60.82,100.0
2022-01-08 12:00:00+07:00,60.5,100.0
2022-01-08 13:00:00+07:00,60.66,100.0
2022-01-08 14:00:00+07:00,60.63,100.0
2022-01-08 16:00:00+07:00,60.39,100.0
2022-01-08 17:00:00+07:00,60.61,100.0
2022-01-08 18:00:00+07:00,60.92,100.0
2022-01-08 19:00:00+07:00,60.92,100.0
2022-01-08 20:00:00+07:00,60.92,100.0
2022-01-08 21:00:00+07:00,61.08,100.0
2022-01-08 22:00:00+07:00,61.23,100.0
2022-01-08 23:00:00+07:00,61.36,100.0
2022-01-09 00:00:00+07:00,61.44,100.0
2022-01-09 01:00:00+07:00,61.4,100.0
2022-01-09 02:00:00+07:00,61.5,100.0
2022-01-09 03:00:00+07:00,61.5,100.0
2022-01-09 04:00:00+07:00,61.5,100.0
2022-01-09 05:00:00+07:00,61.5,100.0
2022-01-09 06:00:00+07:00,61.21,100.0
2022-01-09 07:00:00+07:00,60.92,100.0
2022-01-09 08:00:00+07:00,60.92,100.0
2022-01-09 09:00:00+07:00,60.92,100.0
2022-01-09 10:00:00+07:00,60.92,100.0
2022-01-09 11:00:00+07:00,60.92,100.0
2022-01-09 12:00:00+07:00,60.79,100.0
2022-01-09 13:00:00+07:00,61.45,100.0
2022-01-09 14:00:00+07:00,60.57,100.0
2022-01-09 15:00:00+07:00,60.24,100.0
2022-01-09 16:00:00+07:00,60.21,100.0
2022-01-09 17:00:00+07:00,60.35,100.0
2022-01-09 18:00:00+07:00,60.65,100.0
2022-01-09 19:00:00+07:00,60.67,100.0
2022-01-09 20:00:00+07:00,60.9,100.0
2022-01-09 21:00:00+07:00,60.92,100.0
2022-01-09 22:00:00+07:00,61.01,100.0
2022-01-09 23:00:00+07:00,60.9,100.0
2022-01-10 00:00:00+07:00,60.92,100.0
2022-01-10 01:00:00+07:00,60.82,100.0
2022-01-10 02:00:00+07:00,60.78,100.0
2022-01-10 03:00:00+07:00,60.92,100.0
2022-01-10 04:00:00+07:00,61.52,100.0
2022-01-10 05:00:00+07:00,61.48,100.0
2022-01-10 06:00:00+07:00,60.93,100.0
2022-01-10 07:00:00+07:00,60.67,100.0
2022-01-10 08:00:00+07:00,60.47,100.0
2022-01-10 09:00:00+07:00,60.66,100.0
2022-01-10 10:00:00+07:00,61.05,100.0
2022-01-10 11:00:00+07:00,60.55,100.0
2022-01-10 12:00:00+07:00,60.34,100.0
2022-01-10 13:00:00+07:00,60.34,100.0
2022-01-10 14:00:00+07:00,60.8,100.0
2022-01-10 15:00:00+07:00,61.08,100.0
2022-01-10 16:00:00+07:00,60.91,100.0
2022-01-10 17:00:00+07:00,61.05,100.0
2022-01-10 18:00:00+07:00,61.07,100.0
2022-01-10 19:00:00+07:00,60.86,100.0
2022-01-10 20:00:00+07:00,60.71,100.0
2022-01-10 21:00:00+07:00,60.56,100.0
2022-01-10 22:00:00+07:00,60.61,100.0
2022-01-10 23:00:00+07:00,61.02,100.0
2022-01-11 00:00:00+07:00,61.55,100.0
2022-01-11 01:00:00+07:00,61.61,100.0
2022-01-11 02:00:00+07:00,60.92,100.0
2022-01-11 03:00:00+07:00,61.57,100.0
2022-01-11 04:00:00+07:00,61.29,100.0
2022-01-11 05:00:00+07:00,60.92,100.0
2022-01-11 06:00:00+07:00,61.14,100.0
2022-01-11 07:00:00+07:00,60.92,100.0
2022-01-11 08:00:00+07:00,60.84,100.0
2022-01-11 09:00:00+07:00,60.47,100.0
2022-01-11 10:00:00+07:00,60.34,100.0
2022-01-11 11:00:00+07:00,60.34,100.0
2022-01-11 12:00:00+07:00,60.75,100.0
2022-01-11 13:00:00+07:00,60.42,100.0
2022-01-11 14:00:00+07:00,60.57,100.0
2022-01-11 15:00:00+07:00,61.11,100.0
2022-01-11 16:00:00+07:00,60.38,100.0
2022-01-11 17:00:00+07:00,60.57,100.0
2022-01-11 18:00:00+07:00,60.8,100.0
2022-01-11 19:00:00+07:00,61.12,100.0
2022-01-11 20:00:00+07:00,60.65,100.0
2022-01-11 21:00:00+07:00,60.8,100.0
2022-01-11 22:00:00+07:00,61.19,100.0
2022-01-11 23:00:00+07:00,61.57,100.0
2022-01-12 00:00:00+07:00,61.72,100.0
2022-01-12 01:00:00+07:00,61.83,100.0
2022-01-12 02:00:00+07:00,62.3,100.0
2022-01-12 03:00:00+07:00,62.22,100.0
2022-01-12 04:00:00+07:00,62.06,100.0
