TimeStamp,PLANT LOAD,1-CTA.2M.1FC1101.PV,,,
5/15/2015 0:00,101.1196993,37.41428875,,,
5/15/2015 0:02,101.1903583,37.44043257,,,
5/15/2015 0:04,101.0725563,37.39684581,,,
5/15/2015 0:06,101.1479174,37.42472945,,,
5/15/2015 0:08,101.0916631,37.40391536,,,
5/15/2015 0:10,100.9245044,37.34206662,,,
5/15/2015 0:12,100.9008707,37.33332217,,,
5/15/2015 0:14,100.7525413,37.27844027,,,
5/15/2015 0:16,100.5391976,37.19950311,,,
5/15/2015 0:18,100.3071211,37.11363482,,,
5/15/2015 0:20,100.1141852,37.04224853,,,
5/15/2015 0:22,100.0131082,37.00485003,,,
5/15/2015 0:24,99.97333258,36.99013306,,,
5/15/2015 0:26,99.89013886,36.95935138,,,
5/15/2015 0:28,100.0311016,37.01150758,,,
5/15/2015 0:30,100.0002469,37.00009136,,,
5/15/2015 0:32,100.0215345,37.00796777,,,
5/15/2015 0:34,100.0568976,37.02105212,,,
5/15/2015 0:36,100.2468695,37.0913417,,,
5/15/2015 0:38,100.1868749,37.06914371,,,
5/15/2015 0:40,100.1891044,37.06996861,,,
5/15/2015 0:42,100.4900858,37.18133175,,,
5/15/2015 0:44,100.4485179,37.16595162,,,
5/15/2015 0:46,100.4476519,37.16563119,,,
5/15/2015 0:48,100.3895432,37.14413099,,,
5/15/2015 0:50,100.2375307,37.08788637,,,
5/15/2015 0:52,100.3270911,37.12102371,,,
5/15/2015 0:54,100.3769176,37.13945953,,,
5/15/2015 0:56,100.4560971,37.16875593,,,
5/15/2015 0:58,100.5227524,37.19341837,,,
5/15/2015 1:00,100.2651867,37.09811907,,,
5/15/2015 1:02,100.1792206,37.06631162,,,
5/15/2015 1:04,100.0390267,37.01443988,,,
5/15/2015 1:06,99.81036336,36.92983444,,,
5/15/2015 1:08,100.052659,37.01948382,,,
5/15/2015 1:10,99.83936477,36.94056496,,,
5/15/2015 1:12,99.70741417,36.89174324,,,
5/15/2015 1:14,99.65350209,36.87179577,,,
5/15/2015 1:16,99.61117096,36.85613326,,,
5/15/2015 1:18,99.75785345,36.91040578,,,
5/15/2015 1:20,99.64232558,36.86766047,,,
5/15/2015 1:22,99.69095894,36.88565481,,,
5/15/2015 1:24,99.77066913,36.91514758,,,
5/15/2015 1:26,99.75197285,36.90822995,,,
5/15/2015 1:28,99.87401268,36.95338469,,,
5/15/2015 1:30,99.87512068,36.95379465,,,
5/15/2015 1:32,99.88636468,36.95795493,,,
5/15/2015 1:34,100.1235366,37.04570855,,,
5/15/2015 1:36,100.4052107,37.14992796,,,
5/15/2015 1:38,100.5510475,37.20388759,,,
5/15/2015 1:40,100.3423592,37.1266729,,,
5/15/2015 1:42,100.3286494,37.12160028,,,
5/15/2015 1:44,100.4969573,37.18387419,,,
5/15/2015 1:46,100.4063319,37.15034282,,,
5/15/2015 1:48,100.4362918,37.16142797,,,
5/15/2015 1:50,100.323278,37.11961285,,,
5/15/2015 1:52,100.3705569,37.13710606,,,
5/15/2015 1:54,100.3410686,37.12619539,,,
5/15/2015 1:56,100.0741047,37.02741874,,,
5/15/2015 1:58,99.90623528,36.96530705,,,
5/15/2015 2:00,99.67131607,36.87838695,,,
5/15/2015 2:02,99.58835285,36.84769055,,,
5/15/2015 2:04,99.6586391,36.87369647,,,
5/15/2015 2:06,99.53657949,36.82853441,,,
5/15/2015 2:08,99.56431247,36.83879562,,,
5/15/2015 2:10,99.6250524,36.86126939,,,
5/15/2015 2:12,99.7310779,36.90049882,,,
5/15/2015 2:14,99.64245199,36.86770724,,,
5/15/2015 2:16,99.60142439,36.85252702,,,
5/15/2015 2:18,99.62122383,36.85985282,,,
5/15/2015 2:20,99.75186568,36.9081903,,,
5/15/2015 2:22,99.79070078,36.92255929,,,
5/15/2015 2:24,99.77606691,36.91714476,,,
5/15/2015 2:26,99.58473426,36.84635168,,,
5/15/2015 2:28,99.64981115,36.87043013,,,
5/15/2015 2:30,99.67343149,36.87916965,,,
5/15/2015 2:32,99.54075364,36.83007885,,,
5/15/2015 2:34,99.73148864,36.9006508,,,
5/15/2015 2:36,99.77030523,36.91501294,,,
5/15/2015 2:38,99.65979148,36.87412285,,,
5/15/2015 2:40,99.81963949,36.93326661,,,
5/15/2015 2:42,99.70773727,36.89186279,,,
5/15/2015 2:44,99.53349506,36.82739317,,,
5/15/2015 2:46,99.62208946,36.8601731,,,
5/15/2015 2:48,99.58850211,36.84774578,,,
5/15/2015 2:50,99.29439805,36.73892728,,,
5/15/2015 2:52,99.26042437,36.72635702,,,
5/15/2015 2:54,99.27666605,36.73236644,,,
5/15/2015 2:56,99.22214777,36.71219468,,,
5/15/2015 2:58,99.27990007,36.73356303,,,
5/15/2015 3:00,99.26514289,36.72810287,,,
5/15/2015 3:02,99.384396,36.77222652,,,
5/15/2015 3:04,99.25079203,36.72279305,,,
5/15/2015 3:06,99.29350436,36.73859661,,,
5/15/2015 3:08,99.3645547,36.76488524,,,
5/15/2015 3:10,99.37112293,36.76731549,,,
5/15/2015 3:12,99.33514002,36.75400181,,,
5/15/2015 3:14,99.40595409,36.78020301,,,
5/15/2015 3:16,99.30195869,36.74172472,,,
5/15/2015 3:18,99.45218692,36.79730916,,,
