TimeStamp,786PI521,786PI522
5/1/2020 10:15,28.90000153,33
5/1/2020 10:20,28.90000153,33
5/1/2020 10:25,28.90000153,33
5/1/2020 10:30,28.90000153,33
5/1/2020 10:35,28.90000153,33
5/1/2020 10:40,28.90000153,33
5/1/2020 10:45,28.90000153,33
5/1/2020 10:50,28.90000153,33
5/1/2020 10:55,28.90000153,32.90009689
5/1/2020 11:00,28.80000114,32.90000153
5/1/2020 11:05,28.89999962,32.99375153
5/1/2020 11:10,28.89999962,33
5/1/2020 11:15,29,33
5/1/2020 11:20,29,33
5/1/2020 11:25,29,33
5/1/2020 11:30,28.90000153,33
5/1/2020 11:35,28.90000153,33
5/1/2020 11:40,28.90000153,32.91249847
5/1/2020 11:45,28.90000153,33
5/1/2020 11:50,28.80000114,32.90000153
5/1/2020 11:55,28.70000076,32.89998627
5/1/2020 12:00,28.86249733,32.89999771
5/1/2020 12:05,28.89999962,33
5/1/2020 12:10,29,33
5/1/2020 12:15,29,33
5/1/2020 12:20,29,33.09922028
5/1/2020 12:25,29,33.09999847
5/1/2020 12:30,28.90000153,33.00019836
5/1/2020 12:35,28.90000153,33.00000381
5/1/2020 12:40,28.90000153,33.00000381
5/1/2020 12:45,28.90000153,32.90000153
5/1/2020 12:50,28.90000153,32.90000153
5/1/2020 12:55,28.90000153,32.90000153
5/1/2020 13:00,28.90000153,32.90000153
5/1/2020 13:05,28.90000153,32.80000305
5/1/2020 13:10,28.90000153,32.80000305
5/1/2020 13:15,28.90000153,32.80000305
5/1/2020 13:20,28.89999962,32.80000305
5/1/2020 13:25,28.89999962,32.80000305
5/1/2020 13:30,28.89999962,32.80000305
5/1/2020 13:35,28.89999962,32.80000305
5/1/2020 13:40,28.89999962,32.80000305
5/1/2020 13:45,28.92500114,32.80002594
5/1/2020 13:50,29,32.89999771
5/1/2020 13:55,28.90000153,32.80000305
5/1/2020 14:00,28.90000153,32.80000305
5/1/2020 14:05,28.90000153,32.80000305
5/1/2020 14:10,28.90000153,32.80000305
5/1/2020 14:15,28.90000153,32.80000305
5/1/2020 14:20,28.80000114,32.70000076
5/1/2020 14:25,28.80000114,32.70000076
5/1/2020 14:30,28.80000114,32.70000076
5/1/2020 14:35,28.89999962,32.70000076
5/1/2020 14:40,28.89999962,32.78750229
5/1/2020 14:45,28.89999962,32.70000076
5/1/2020 14:50,28.89999962,32.79999924
5/1/2020 14:55,28.89999962,32.79999924
5/1/2020 15:00,28.89999962,32.70307541
5/1/2020 15:05,28.89999962,32.79997635
5/1/2020 15:10,28.89999962,32.70000076
5/1/2020 15:15,28.89999962,32.70000076
5/1/2020 15:20,29,32.79999924
5/1/2020 15:25,28.90000153,32.78750229
